Borough,Crew,Status,Website,Location,Day,Distance/Run Type,Time,Meet Up Information,Recognized Organizations
Brooklyn,Achilles International NYC,Active,https://www.instagram.com/achillesnyc/?hl=en,Prospect Park - Garfield Street Entrance,Thursday,,6:00 PM,"Free, all levels",NYRR
Brooklyn,Adidas Runners,Active,https://www.instagram.com/adidasrunners/,Prospect Park (Grand Army Plaza),Tuesday,,7:00 AM,Free,
Brooklyn,Bedstuy Flyers,Active,https://www.instagram.com/bedstuyflyers/,"Boys & Girls High School Track, 1700 Fulton St, Brooklyn, NY 11213",Tuesday,,6:15 AM,"Free, all levels",NYRR
Brooklyn,Bedstuy Flyers,Active,https://www.instagram.com/bedstuyflyers/,"Salsa/Bravi Ragazzi, 570 Putnam Ave at Marcus Garvey Blvd",Thursday,4M,6:30 AM,"Free, all levels",NYRR
Brooklyn,Bed-Stuy Run Club,Active,https://www.instagram.com/__m.schmidt/,Saratoga & Halsey,Wednesday,5k,7:00 PM,"Free, all levels",
Brooklyn,BK Run Project,Active,https://www.bkrunproject.com/,Prospect Park - Grand Army Plaza entrance,Tuesday,,6:30 AM,"Membership required, First Meetup Free, all levels",
Brooklyn,BK Run Project,Active,https://www.bkrunproject.com/,Prospect Park - Grand Army Plaza entrance,Thursday,,6:30 AM,"Membership required, First Meetup Free, all levels",
Brooklyn,BK Run Project,Active,https://www.bkrunproject.com/,Prospect Park,Saturday,Long Run,Varies - check website,"Membership required, First Meetup Free, all levels",
Brooklyn,Black Men Run,Active,https://www.instagram.com/blackmenrunnyc/,Prospect Park - Grand Army Plaza entrance,Wednesday,,7:15 PM,"Free, all levels, Men's club",
Brooklyn,Black Men Run,Active,https://www.instagram.com/blackmenrunnyc/,Prospect Park - Grand Army Plaza entrance,Saturday,,8:00 AM,"Free, all levels, Men's club",
Brooklyn,Black Men Run,Active,https://www.instagram.com/blackmenrunnyc/,Prospect Park - Grand Army Plaza entrance,Weekend,Long Run,,"Free, all levels, Men's club",
Brooklyn,Brooklyn Queer Run Club,Active,https://www.instagram.com/bklynqueerrunclub/?hl=en,Varies - check website,Tuesday,,7:30 AM,"Free, all levels",
Brooklyn,Brooklyn Queer Run Club,Active,https://www.instagram.com/bklynqueerrunclub/?hl=en,Varies - check website,Thursday,,7:00 PM,"Free, all levels",
Brooklyn,Brooklyn Queer Run Club,Active,https://www.instagram.com/bklynqueerrunclub/?hl=en,Varies - check website,Saturday,,10:30 AM,"Free, all levels",
Brooklyn,Brooklyn Rogues,Active,https://www.instagram.com/brooklynrogues/,Prospect Park (Grand Army Plaza),Tuesday,,6:00 AM,"Free, all levels",NYRR
Brooklyn,Brooklyn Rogues,Active,https://www.instagram.com/brooklynrogues/,Prospect Park (Grand Army Plaza),Thursday,,6:00 AM,"Free, all levels",NYRR
Brooklyn,Brooklyn Rogues,Active,https://www.instagram.com/brooklynrogues/,Brooklyn Academy of Music,Saturday,,7:30 AM,"Free, all levels",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,McCarren Park Track,Tuesday,Track,7:00 AM,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,East River Track,Tuesday,Track,7:00 AM,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,McCarren Park Track,Tuesday,Track,7:00 PM,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,East River Track,Tuesday,Track,7:00 PM,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,Central Park,Thursday,"Tempo Run, Fartlek or Hills",,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,Prospect Park,Thursday,"Tempo Run, Fartlek or Hills",,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Track Club,Active,https://www.brooklyntrackclub.com/training-sessions.html,Varies - check website,Saturday,Long Run,9:00 AM,"Membership required, sliding scale offered",NYRR
Brooklyn,Brooklyn Tri Club,Active,https://brooklyntri.org/event/run-training-with-coach-john/2022-07-27,Prospect Park - along Center Drive,Wednesday,,7:00 PM,Membership required,NYRR
Brooklyn,Bushwick Runners,Active,https://www.instagram.com/bushwickrunners/,"Maria Hernandez Park, Brooklyn, NY",Wednesday,~2.5 mile run,6:00 PM,,
Brooklyn,Crown Heights Running Club,Active,https://www.instagram.com/crownheightsrunningclub/,Prospect Park - Parkside Ave & Ocean Ave entrance,Monday,,6:30 AM,"Free, all levels",NYRR
Brooklyn,Crown Heights Running Club,Active,https://www.instagram.com/crownheightsrunningclub/,Prospect Park - Flatbush Ave & Empire Ave entrance,Tuesday,,7:00 PM,"Free, all levels",NYRR
Brooklyn,Crown Heights Running Club,Active,https://www.instagram.com/crownheightsrunningclub/,Prospect Park - Grand Army Plaza entrance,Thursday,,7:00 PM,"Free, all levels",NYRR
Brooklyn,Crown Heights Running Club,Active,https://www.instagram.com/crownheightsrunningclub/,Prospect Park - Eastern Parkway & Franklin Ave,Friday,,6:30 AM,"Free, all levels",NYRR
Brooklyn,Crown Heights Running Club,Active,https://www.instagram.com/crownheightsrunningclub/,Prospect Park - Eastern Parkway & Franklin Ave,Saturday,,8:00 AM,"Free, all levels",NYRR
Brooklyn,Dashing Whippets,Active,https://www.instagram.com/dashingwhippets/,"Gowanus - Finneback Brewery, 545 President St, Brooklyn, NY 11215",Wednesday,,7:00 PM,"Membership required, 90 day trial available, all levels",NYRR
Brooklyn,Dashing Whippets,Active,https://www.instagram.com/dashingwhippets/,Prospect Park - Grand Army Plaza entrance,Thursday,,7:00 PM,"Membership required, 90 day trial available, all levels",NYRR
Brooklyn,Dashing Whippets,Active,https://www.instagram.com/dashingwhippets/,Prospect Park - Grand Army Plaza entrance,Saturday,Long Run,8:30 AM,"Membership required, 90 day trial available, all levels",NYRR
Brooklyn,DeFine New York Run Club,Active,https://www.instagram.com/definenewyorkrunclub/?hl=en,Dick & Janes 266 Adelphi Street,Saturday,Long Run,8:00 AM,"Free, all levels",
Brooklyn,Fleet Feet Running Club Brooklyn,Active,https://www.instagram.com/fleetfeetbrooklyn/,"151 7th Avenue, Brooklyn, NY 11215",Saturday,4M fun run,9:00 AM,"Free, all levels, bag drop off, water, bathroom",
Brooklyn,Fort Greene Runners,Active,https://www.instagram.com/fortgreenerunners/,DeKalb & Cumberland,Tuesday,5 or 3 M,7:00 PM,"Free, all levels",NYC Runs
Brooklyn,Fort Greene Runners,Active,https://www.instagram.com/fortgreenerunners/,Fulton & Hanson,Friday,5-6M,7:15 AM,"Free, all levels",NYC Runs
Brooklyn,Friday Nights We Run,No Current Information Found,https://www.instagram.com/fridaynightswerun/,"Branded Saloon, 603 Vanderbilt Ave, Brooklyn, NY 11238",Friday,,7:00 PM,,
Brooklyn,Front Runners New York,Active,https://frny.org/activities,"Prospect Park, 3rd St. and Prospect Park West, entrance in front of panther statues",Tuesday,"3.5M, social pace",7:00 PM,Membership required,NYRR
Brooklyn,Front Runners New York,Active,https://frny.org/activities,Brooklyn Bridge Park Pier 6,Tuesday,"3.5M, social pace",7:00 PM,"Membership required, Every Second Tuesday",NYRR
Brooklyn,Front Runners New York,Active,https://frny.org/activities,Brooklyn Bridge Park Pier 6,Thursday,"3.5M, social pace",7:00 PM,"Membership required, Seasonal",NYRR
Brooklyn,Girls Run NYC,Active,https://www.instagram.com/girlsrunnyc/,"Brooklyn Running Co, 222 Grand Street",Wednesday,,6:00 PM,"Free, all levels, Womxn's club, Bag check",
Brooklyn,Glue Factory,No Current Information Found,https://www.instagram.com/gluefactorytrackclub/,,,,,,NYRR
Brooklyn,Goldfinger Track Club,Active,https://www.instagram.com/gftcbklyn/,Varies - check website,Monday,Varies,Varies,Membership required,
Brooklyn,Goldfinger Track Club,Active,https://www.instagram.com/gftcbklyn/,Varies - check website,Wednesday,,AM,Membership required,
Brooklyn,Goldfinger Track Club,Active,https://www.instagram.com/gftcbklyn/,Varies - check website,Wednesday,,PM,Membership required,
Brooklyn,Goldfinger Track Club,Active,https://www.instagram.com/gftcbklyn/,"Stuy Wash 'N Dry, 954 Putnam Ave, Brooklyn, NY 11221",Thursday,"Community run, 3-5M",7:00 PM,All welcome,
Brooklyn,Goldfinger Track Club,Active,https://www.instagram.com/gftcbklyn/,Varies - check website,Saturday,Long Run,Varies,Membership required,
Brooklyn,Goldfinger Track Club,Active,https://www.instagram.com/gftcbklyn/,Varies - check website,Varies,Trail run,Varies,Membership required,
Brooklyn,Great Hill Track Club,Active,https://www.instagram.com/greathilltc/,Prospect Park - Flatbush Ave & Eastern Parkway,Tuesday,Speed,6:30 PM,"Membership required, First Meetup Free, all levels",NYRR
Brooklyn,Great Hill Track Club,Active,https://www.instagram.com/greathilltc/,Prospect Park - Flatbush Ave & Eastern Parkway,Thursday,Tempo,6:30 PM,"Membership required, First Meetup Free, all levels",NYRR
Brooklyn,Greenpoint Runners,Active,https://www.instagram.com/greenpointrunners/?hl=en,"Greenpoint - Bandit, 37 Noble Street",Saturday,5 miles,9:00 AM,"Free, all levels",
Brooklyn,Kings County Fitness Club,Active,https://www.instagram.com/kingscountyfitnessclub/,Fort Greene Park,Wednesday,,6:30 AM,Various workouts,
Brooklyn,Lean Strong Fast,Active,https://www.instagram.com/lean.strong.fast/?hl=en,Prospect Park - Grand Army Plaza entrance,Saturday,1 hour,7:00 AM,"Free, all levels",
Brooklyn,Life of the Party Runners,No Current Information Found,https://www.instagram.com/LIFEOFTHEPARTYRUNNERS/,,,,,,NYRR
Brooklyn,MTHD by Oscar,Active,https://www.instagram.com/mthdbyoscar/,"450 Warren St Brooklyn, NY 11217",Sunday,Speed,9:00 AM,,
Brooklyn,New York Flyers,Active,https://www.nyflyers.org/,Prospect Park - meet at the top of the circle just inside the north entrance of the park,Sunday,1 hour,9:00 AM,Membership required,
Brooklyn,Nice Jewish Runners,Active,https://www.instagram.com/nicejewishrunners/,Prospect Park/Grand Army Plaza,Sunday,3.3 mile loop,8:30 AM,,
Brooklyn,Nike by Williamsburg,Inactive,https://www.nike.com/experiences/details/1657910273875,"Nike, 81 North 6th Street",Wednesday,Varies,6:00 PM,Seasonal?,
Brooklyn,No Bad Days Run Club,Active,https://www.instagram.com/nbd_rc,"Other Half, 34 River Street.",Thursday,3.75 M BRIDGE,6:45 PM,,
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Monday,Easy,6:45 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Monday,Easy,7:30 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Monday,,9:10 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Tuesday,,6:30 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,Prospect Park - Grand Army Plaza Entrance,Tuesday,Speed,7:00 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Tuesday,4-8M tempo,7:30 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Wednesday,,6:00 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Wednesday,Easy,7:00 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,Prospect Park - Grand Army Plaza Entrance,Wednesday,Easy,7:30 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Thursday,Speed,6:30 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,Prospect Park - Grand Army Plaza Entrance,Thursday,,6:30 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Thursday,,7:30 PM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Saturday,,8:00 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,"South Williamsburg - 677 Kent Avenue, Brooklyn, NY",Saturday,,8:00 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Saturday,,9:00 AM,"Free, all levels",
Brooklyn,North Brooklyn Runners,Active,https://northbrooklynrunners.org/,McCarren Park,Sunday,Long Run,8:00 AM,"Free, all levels",
Brooklyn,November Project,Active,https://november-project.com/brooklyn-ny/,Fort Greene Park,Wednesday,,6:28 AM,"Free, all levels",
Brooklyn,NYC Sprint Collective,Active,https://www.instagram.com/nycsprintcollective/,McCarren Park,Tuesday,Track,6:00 PM,"Free, all levels",
Brooklyn,NYC Sprint Collective,Active,https://www.instagram.com/nycsprintcollective/,McCarren Park,Friday,Track,8:00 AM,"Free, all levels",
Brooklyn,Ocean Parkway Runners,No Current Information Found,https://www.oceanparkwayrunners.com/,,,,,,NYRR
Brooklyn,Off the Hook Track Club,Active,https://www.instagram.com/offthehooktc/,Red Hook - Red Hook Track,Tuesday,,6:30 AM,"Free, all levels",
Brooklyn,On Williamsburg Run Club,Active,https://www.eventbrite.com/e/on-williamsburg-tuesday-community-group-runs-tickets-796928252857?aff=oddtdtcreatorr,On Williamsburg,Tuesday,"Easy, social",6:30 PM,"Free, all levels",
